video_id,title,video_type,source_channel,published_at,published_date,published_year,published_month,view_count,like_count,comment_count,duration,thumbnail
8qNvEwQaRcQ,우리의 시작처럼 이대로🫂 #CxM #에스쿱스X민규 #DOUBLE_UP,기타(릴스),seventeen_official,2026-02-13T13:34:00Z,2026-02-13,2026,02,116568,11559,95,0.6833333333333333,https://i.ytimg.com/vi/8qNvEwQaRcQ/hqdefault.jpg
h2ESgkFWQ0Y,당신에게 난 하나일 거예요🌹 #CxM #에스쿱스X민규 #DOUBLE_UP,기타(릴스),seventeen_official,2026-02-13T13:43:12Z,2026-02-13,2026,02,184326,16896,169,0.7666666666666667,https://i.ytimg.com/vi/h2ESgkFWQ0Y/hqdefault.jpg
1oHnf7B6Qac,💎HAPPY 10th CARAT DAY : CARAT SWEET LAB💎,기타(릴스),seventeen_official,2026-02-13T15:00:04Z,2026-02-13,2026,02,396099,41712,2098,55.78333333333333,https://i.ytimg.com/vi/1oHnf7B6Qac/hqdefault.jpg
LqTJoWU-r2k,Ordinary Notes #Bonus Book | 도겸X승관 (SEVENTEEN),기타(릴스),seventeen_official,2026-02-12T10:59:58Z,2026-02-12,2026,02,46589,5295,158,16.95,https://i.ytimg.com/vi/LqTJoWU-r2k/hqdefault.jpg
61FUNRFC7w8,Ordinary Notes #Bonus Book Preview #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-02-12T10:50:00Z,2026-02-12,2026,02,63155,6829,49,0.9666666666666667,https://i.ytimg.com/vi/61FUNRFC7w8/hqdefault.jpg
WPYIgTnRoPo,[INSIDE SEVENTEEN] 승관 'それがあなたの幸せとしても' 커버 비하인드 (SEUNGKWAN “Even If It's Your Happiness” Cover Sketch),INSIDE SEVENTEEN,seventeen_official,2026-02-10T12:59:57Z,2026-02-10,2026,02,50746,6546,243,5.6,https://i.ytimg.com/vi/WPYIgTnRoPo/hqdefault.jpg
6CybdoaoGfc,#Blue ❄️ by #CHOIJUNGEUN #최정은 #izna #이즈나 #DxS #도겸X승관 #소야곡 #Serenade,솔로,seventeen_official,2026-02-09T13:00:12Z,2026-02-09,2026,02,114781,8178,118,0.8166666666666667,https://i.ytimg.com/vi/6CybdoaoGfc/hqdefault.jpg
Jrx2xxdjdio,#Blue ❄️ by #DragonPony #드래곤포니 #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-02-07T12:30:22Z,2026-02-07,2026,02,152082,9547,110,0.7666666666666667,https://i.ytimg.com/vi/Jrx2xxdjdio/hqdefault.jpg
gbxFmsw_PAQ,#Blue ❄️ by #현우 #HYUNWOO #싸이커스 #xikers #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-02-07T12:01:12Z,2026-02-07,2026,02,77870,6183,52,0.65,https://i.ytimg.com/vi/gbxFmsw_PAQ/hqdefault.jpg
9x9n7OyVLXY,#Blue ❄️ by #JIHOON #지훈 #PARKJEONGWOO #박정우 #TREASURE #트레저 #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-02-06T13:30:09Z,2026-02-06,2026,02,268842,21347,590,0.7,https://i.ytimg.com/vi/9x9n7OyVLXY/hqdefault.jpg
qWHHHO7N3iQ,오늘 하루도 아주 즐거웠어요🩷🩵 #CxM #에스쿱스X민규 #DOUBLE_UP,기타(릴스),seventeen_official,2026-02-06T12:59:52Z,2026-02-06,2026,02,199334,15549,69,0.6833333333333333,https://i.ytimg.com/vi/qWHHHO7N3iQ/hqdefault.jpg
dritfi6EpA0,#Blue ❄️ by #켄 #KEN #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-02-06T14:01:10Z,2026-02-06,2026,02,92835,6943,102,0.65,https://i.ytimg.com/vi/dritfi6EpA0/hqdefault.jpg
S78pRnl5cz4,The way you make me feel 🩷🩵 #CxM #에스쿱스X민규 #DOUBLE_UP,기타(릴스),seventeen_official,2026-02-05T12:49:05Z,2026-02-05,2026,02,188958,14247,46,0.2833333333333333,https://i.ytimg.com/vi/S78pRnl5cz4/hqdefault.jpg
v7y_BS1erLA,📞Chiring Chiring📞 #CxM #에스쿱스X민규 #DOUBLE_UP,기타(릴스),seventeen_official,2026-02-05T12:59:58Z,2026-02-05,2026,02,136155,12492,56,0.7333333333333333,https://i.ytimg.com/vi/v7y_BS1erLA/hqdefault.jpg
wPxwXooSV08,The way you make me feel 🩷🩵 #CxM #에스쿱스X민규 #DOUBLE_UP,기타(릴스),seventeen_official,2026-02-05T12:44:16Z,2026-02-05,2026,02,111751,10382,67,0.4,https://i.ytimg.com/vi/wPxwXooSV08/hqdefault.jpg
UHFjhK9pFnM,#Blue ❄️ by #이예지 #LeeYeJi #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-02-05T09:30:26Z,2026-02-05,2026,02,95498,5885,57,0.65,https://i.ytimg.com/vi/UHFjhK9pFnM/hqdefault.jpg
XPIgfyoCznk,[INSIDE SEVENTEEN] 정한 바닐라코 촬영 비하인드 (JEONGHAN's Banila Co Shoot Sketch),INSIDE SEVENTEEN,seventeen_official,2026-02-04T13:04:04Z,2026-02-04,2026,02,129570,14872,884,6.566666666666666,https://i.ytimg.com/vi/XPIgfyoCznk/hqdefault.jpg
9-12pVlmA0o,#Rockstar 🤘 by #정용화 #JUNGYONGHWA #씨엔블루 #CNBLUE #DxS #도겸X승관#소야곡 #Serenade,솔로,seventeen_official,2026-02-04T12:30:13Z,2026-02-04,2026,02,212249,13130,150,0.5166666666666667,https://i.ytimg.com/vi/9-12pVlmA0o/hqdefault.jpg
GCmeFsFWADE,#Blue ❄️ by #Donghyeon #동현 #KickFlip #킥플립 #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-02-04T12:00:34Z,2026-02-04,2026,02,109600,8366,175,0.65,https://i.ytimg.com/vi/GCmeFsFWADE/hqdefault.jpg
